country,food_category,consumption,co2_emission
Colombia,pork,6.51,23.04
Colombia,poultry,27.57,29.62
Colombia,beef,16.36,504.84
Colombia,lamb_goat,0.21,7.35
Colombia,fish,6.01,9.6
Colombia,eggs,10.78,9.9
Colombia,dairy,108.47,154.5
Colombia,wheat,29.79,5.68
Colombia,rice,28.02,35.86
Colombia,soybeans,0.89,0.4
Colombia,nuts,0.42,0.74
Maldives,pork,1.22,4.32
Maldives,poultry,18.47,19.84
Maldives,beef,9.44,291.3
Maldives,lamb_goat,0.7,24.51
Maldives,fish,179.71,286.94
Maldives,eggs,10.79,9.91
Maldives,dairy,111.47,158.78
Maldives,wheat,77.77,14.83
Maldives,rice,50.73,64.92
Maldives,soybeans,0.2,0.09
Maldives,nuts,15.83,28.02
Cyprus,pork,38.38,135.85
Cyprus,poultry,24.45,26.26
Cyprus,beef,5.79,178.67
Cyprus,lamb_goat,5.05,176.85
Cyprus,fish,14.86,23.73
Cyprus,eggs,8.98,8.25
Cyprus,dairy,113.31,161.4
Cyprus,wheat,83.25,15.88
Cyprus,rice,4.94,6.32
Cyprus,soybeans,0.04,0.02
Cyprus,nuts,4.6,8.14
Serbia,pork,32.04,113.41
Serbia,poultry,10.64,11.43
Serbia,beef,7.05,217.55
Serbia,lamb_goat,3.56,124.67
Serbia,fish,5.59,8.93
Serbia,eggs,8.89,8.17
Serbia,dairy,148.53,211.57
Serbia,wheat,105.88,20.19
Serbia,rice,1.22,1.56
Serbia,soybeans,0.0,0.0
Serbia,nuts,3.31,5.86
United Arab Emirates,pork,0.0,0.0
United Arab Emirates,poultry,41.04,44.09
United Arab Emirates,beef,5.64,174.04
United Arab Emirates,lamb_goat,9.08,317.98
United Arab Emirates,fish,20.41,32.59
United Arab Emirates,eggs,8.23,7.56
United Arab Emirates,dairy,132.66,188.96
United Arab Emirates,wheat,101.29,19.32
United Arab Emirates,rice,56.25,71.98
United Arab Emirates,soybeans,0.08,0.04
United Arab Emirates,nuts,23.03,40.76
Algeria,pork,0.0,0.0
Algeria,poultry,7.42,7.97
Algeria,beef,5.6,172.8
Algeria,lamb_goat,7.69,269.3
Algeria,fish,3.74,5.97
Algeria,eggs,8.06,7.4
Algeria,dairy,141.53,201.6
Algeria,wheat,185.42,35.36
Algeria,rice,2.97,3.8
Algeria,soybeans,0.0,0.0
